first_name,last_name,score,style,YOE,IDE,Programming language,location,Number of github repos contributed to,Employer,OS,job title,age
Ezekiel,Zavala ,8,spaces,19,Visual Studio,Java,Asia,5,Microsoft,Windows,SWE 2,31.6
Finn,Mcmahon ,7,tabs,7,Intellij,Python,North America,1,Snapchat,Linux,Principal Engineer,34.7
Myla,Lucero ,9,spaces,17,Visual Studio,Javascript,Asia,0,Apple,MacOS,Principal Engineer,32.3
Brianna,Barr ,4,tabs,7,Visual Studio,PHP,Europe,2,Instagram,Windows,SWE 2,33.9
Anastasia,Valenzuela ,1,tabs,5,Visual Studio,Java,Africa,0,Microsoft,Windows,SWE 1,32.8
Angelo,Briggs ,10,spaces,19,Intellij,GO,Asia,2,Instagram,Windows,Senior Engineer,30.3
Erik,Hardin ,1,tabs,6,Vim,Python,Africa,0,Spotify,Linux,Distinguished Engineer,30.9
Abel,Nixon ,0,tabs,6,Intellij,PHP,Asia,0,Netflix,Windows,SWE 2,29.2
Isla,Cordova ,6,tabs,7,Eclipse,Python,Antarctica,0,Apple,Linux,Principal Engineer,29.8
Averie,Galindo ,8,spaces,17,Visual Studio,C#,North America,2,Instagram,Linux,Principal Engineer,30.6
Lillian,Mcmahon ,6,spaces,15,Visual Studio,Javascript,Europe,0,Microsoft,Windows,SWE 2,33.6
Millie,Morrison ,9,spaces,14,Intellij,R,North America,3,Twitter,Windows,SWE 2,33.8
Maximiliano,Murillo ,4,spaces,13,Visual Studio,PHP,Africa,0,Facebook,Linux,Principal Engineer,32.2
Gabrielle,Gallegos ,1,tabs,6,Vim,Java,Asia,0,Amazon,Linux,Distinguished Engineer,34.7
Bryan,Jenkins ,5,spaces,14,Visual Studio,Python,Europe,0,Netflix,Windows,SWE 1,37.7
Kamden,Bartlett ,5,tabs,8,VSCode,Python,Europe,0,Uber,MacOS,Senior Engineer,32.8
Atlas,Francis ,8,tabs,7,Intellij,C#,Antarctica,0,Netflix,Windows,SWE 2,32.4
Tripp,Figueroa ,5,tabs,6,Eclipse,C++,Europe,0,Snapchat,Linux,Principal Engineer,36.6
Jett,Poole ,1,spaces,15,XCode,Java,Antarctica,0,Spotify,Windows,SWE 2,29.8
Harlow,Meyer ,6,tabs,9,Eclipse,Swift,Antarctica,4,Apple,Windows,SWE 1,33
Piper,Davila ,8,tabs,8,Visual Studio,GO,Europe,2,Apple,Windows,SWE 2,31.4
Alan,Hamilton ,8,spaces,15,pyCharm,Java,Antarctica,0,Netflix,Windows,SWE 1,30.6
Nylah,Powers ,6,spaces,13,VSCode,C,Africa,0,Google,Windows,SWE 1,28.9
Faith,Fuentes ,10,spaces,18,XCode,Javascript,Antarctica,0,Spotify,MacOS,Principal Engineer,31.9
Lilliana,Hutchinson ,2,tabs,8,Intellij,PHP,Asia,0,Netflix,Linux,Distinguished Engineer,32.4
Miles,Shah ,3,tabs,9,VSCode,Python,Antarctica,0,Spotify,Windows,SWE 1,36
Armani,Chang ,3,tabs,7,Visual Studio,Python,Asia,0,Microsoft,MacOS,Principal Engineer,31.9
Everly,Cantu ,1,tabs,5,Visual Studio,C,Asia,4,Google,Linux,Distinguished Engineer,33.6
Nadia,Brandt ,0,tabs,9,pyCharm,PHP,Asia,0,Microsoft,Windows,SWE 2,33
Selena,Bennett ,4,tabs,6,Intellij,C++,Africa,1,Microsoft,Linux,Principal Engineer,40.2
Juniper,Sloan ,1,tabs,5,VSCode,C,Africa,0,Spotify,Windows,SWE 1,28.9
Amara,Boone ,9,tabs,7,XCode,PHP,Antarctica,0,Twitter,Windows,SWE 2,30.2
Jay,Preston ,5,spaces,15,Visual Studio,Javascript,Antarctica,0,Uber,Windows,SWE 2,41.5
Journey,Foley ,1,tabs,8,Emacs,C,Europe,0,Twitter,Linux,Distinguished Engineer,37.2
Brian,Flores ,5,tabs,7,Intellij,Swift,Africa,0,Netflix,MacOS,Principal Engineer,33.2
Amir,Kent ,10,tabs,8,Vim,Javascript,Africa,0,Netflix,Linux,Principal Engineer,35.7
Santino,Thornton ,5,tabs,7,Emacs,C#,Antarctica,0,Instagram,MacOS,Senior Engineer,36.9
Lillian,Shaffer ,0,tabs,5,VSCode,Java,Antarctica,0,Uber,MacOS,Senior Engineer,38.5
Gracelyn,Larson ,3,tabs,7,Visual Studio,PHP,Europe,2,Instagram,Linux,Principal Engineer,33.1
Paul,Marshall ,4,spaces,14,pyCharm,C#,Africa,2,Snapchat,Linux,Principal Engineer,35.1
Troy,Wilcox ,9,spaces,14,VSCode,Javascript,North America,0,Uber,Windows,SWE 2,30.8
Camryn,Weiss ,4,spaces,16,VSCode,Python,Asia,0,Facebook,MacOS,Senior Engineer,37.2
Kamryn,Rice ,10,spaces,21,Visual Studio,Swift,North America,6,Microsoft,Linux,Principal Engineer,34.6
Oakley,Villalobos ,2,tabs,7,Visual Studio,C,Antarctica,0,Twitter,MacOS,Principal Engineer,29.9
Rowan,Bryant ,5,spaces,15,pyCharm,Swift,Africa,0,Uber,Windows,SWE 1,39.3
Kamryn,Weaver ,5,spaces,15,Visual Studio,Javascript,Antarctica,0,Facebook,Windows,SWE 1,35.4
Aria,Wolf ,1,spaces,17,Visual Studio,C#,Europe,0,Apple,Linux,Distinguished Engineer,30.2
Braelynn,Cohen ,4,tabs,8,VSCode,Python,Asia,0,Spotify,Windows,SWE 1,39.3
Cassidy,Heath ,5,tabs,7,Eclipse,Python,Europe,4,Uber,Windows,SWE 1,38.6
Clara,Mccoy ,9,spaces,12,Visual Studio,Python,Antarctica,1,Apple,Windows,SWE 1,34
Evelyn,Nixon ,4,spaces,15,Emacs,Swift,Antarctica,0,Uber,MacOS,Senior Engineer,42.1
Elliott,Zamora ,7,tabs,5,Eclipse,PHP,Antarctica,0,Microsoft,Windows,SWE 2,37.2
Catherine,Wall ,5,tabs,8,Eclipse,Javascript,Europe,0,Facebook,MacOS,Senior Engineer,35.9
Josie,Armstrong ,7,spaces,14,Intellij,Java,North America,0,Microsoft,Linux,Principal Engineer,38.5
Lauren,Dudley ,6,spaces,16,Visual Studio,GO,Europe,0,Uber,MacOS,Principal Engineer,30.2
Eliza,Raymond ,9,tabs,8,VSCode,Python,Africa,0,Amazon,Windows,Senior Engineer,29.9
Walter,Gill ,9,tabs,8,XCode,C++,Europe,3,Uber,Linux,Principal Engineer,38.2
Patrick,Mccarty ,0,spaces,17,Visual Studio,Python,Africa,0,Facebook,MacOS,Principal Engineer,33.9
Maddox,Dean ,9,tabs,7,XCode,Swift,North America,0,Netflix,Windows,SWE 1,39.5
Jeremy,Hines ,4,spaces,15,Eclipse,PHP,Africa,0,Facebook,Windows,SWE 2,37.9
Journee,Diaz ,5,spaces,20,Intellij,C++,Antarctica,0,Microsoft,Linux,Principal Engineer,39.6
Ronan,Francis ,9,spaces,18,XCode,C#,Africa,0,Snapchat,Windows,SWE 1,31.2
Brinley,Jaramillo ,8,tabs,9,Emacs,C++,Africa,0,Google,Linux,Principal Engineer,33.4
Milo,Velazquez ,5,tabs,6,XCode,R,Europe,0,Twitter,MacOS,Principal Engineer,36.7
Talia,Deleon ,5,tabs,6,VSCode,Python,Europe,0,Uber,Windows,SWE 2,33.4
Journey,Buckley ,9,spaces,17,Eclipse,Javascript,Africa,5,Snapchat,Windows,SWE 2,34.9
Hazel,Mays ,5,spaces,14,Visual Studio,Python,Antarctica,0,Twitter,MacOS,Senior Engineer,32.3
Zane,Mckinney ,4,tabs,6,Eclipse,Python,Asia,0,Twitter,Windows,SWE 2,35.4
David,Stewart ,8,spaces,15,Visual Studio,Swift,Europe,0,Spotify,MacOS,Principal Engineer,30.9
Zion,Yates ,4,spaces,12,Visual Studio,Javascript,Africa,1,Netflix,Windows,SWE 2,36.7
Avianna,Reilly ,2,tabs,5,VSCode,PHP,Asia,4,Facebook,Windows,SWE 1,31.8
Eliana,Evans ,1,spaces,14,Visual Studio,Java,Antarctica,0,Apple,Windows,SWE 2,30.1
Nyla,Corona ,10,tabs,5,Vim,C#,Antarctica,3,Apple,MacOS,Senior Engineer,31.1
Harvey,Thomas ,3,tabs,7,XCode,Python,Africa,0,Uber,Windows,SWE 1,36.4
Royalty,Bentley ,4,spaces,19,VSCode,C#,Europe,0,Microsoft,Windows,SWE 1,32.4
Harper,Cruz ,7,tabs,5,XCode,C#,Antarctica,0,Facebook,MacOS,Senior Engineer,33.9
Lucas,Waters ,4,spaces,15,VSCode,C,Antarctica,0,Microsoft,Windows,SWE 2,26.1
Gunner,Mullins ,1,tabs,9,Eclipse,Python,Europe,2,Instagram,Windows,SWE 1,32.1
Teagan,Casey ,2,spaces,14,VSCode,PHP,Asia,3,Instagram,MacOS,Principal Engineer,31.5
Joy,Serrano ,3,tabs,7,Eclipse,PHP,Africa,0,Snapchat,MacOS,Senior Engineer,30.7
Sofia,Dean ,5,spaces,13,Visual Studio,Javascript,North America,1,Uber,Windows,SWE 2,38.4
Ada,Brown ,3,tabs,5,Visual Studio,Java,Africa,3,Facebook,MacOS,Principal Engineer,34.2
Kennedy,Stevenson ,4,spaces,15,VSCode,C#,Europe,0,Instagram,Windows,SWE 2,32.2
Jaylen,Jones ,9,spaces,19,VSCode,C#,Antarctica,0,Google,Linux,Principal Engineer,33.1
Eve,Aguilar ,7,spaces,17,Eclipse,C#,Africa,0,Amazon,Windows,SWE 2,30.1
Archie,Estrada ,4,spaces,14,VSCode,R,Africa,0,Netflix,Windows,SWE 2,36.5
Brooklyn,Parrish ,6,tabs,7,XCode,C#,Europe,0,Microsoft,Windows,SWE 1,32.1
Octavia,Moreno ,1,tabs,9,Intellij,C#,North America,0,Spotify,Linux,Distinguished Engineer,34.2
Braelynn,Morrison ,0,spaces,13,Visual Studio,R,Asia,0,Facebook,Linux,Distinguished Engineer,36.3
Dalton,Scott ,8,spaces,17,VSCode,Python,North America,0,Twitter,Windows,Senior Engineer,32.8
Samara,Zavala ,1,tabs,7,Visual Studio,PHP,Antarctica,2,Twitter,MacOS,Senior Engineer,32.4
Elias,Humphrey ,8,spaces,16,Visual Studio,Swift,Africa,0,Amazon,Windows,SWE 1,32.5
Harper,Donaldson ,3,spaces,18,XCode,C,Asia,2,Instagram,Linux,Distinguished Engineer,38.7
Caleb,Gardner ,5,tabs,5,Intellij,Python,North America,0,Twitter,MacOS,Senior Engineer,29.6
Thea,Stanton ,7,tabs,6,pyCharm,C#,Europe,5,Amazon,Windows,SWE 2,34.2
Francesca,Villegas ,8,spaces,18,Visual Studio,Javascript,Africa,0,Apple,Windows,SWE 1,30.4
Emmanuel,Ford ,6,tabs,7,XCode,Javascript,Africa,1,Apple,MacOS,Senior Engineer,36.3
Clark,Shields ,5,tabs,9,VSCode,C++,Asia,0,Twitter,MacOS,Senior Engineer,30.4
Londyn,Galvan ,7,tabs,7,Vim,Javascript,North America,0,Apple,Linux,Distinguished Engineer,32.4
Cecilia,Mckenzie ,0,tabs,9,pyCharm,R,Asia,0,Microsoft,Linux,Principal Engineer,36.3
Major,Rogers ,2,tabs,6,Visual Studio,Java,Africa,2,Snapchat,Windows,SWE 2,29.4
Amara,Shaffer ,2,tabs,7,Visual Studio,Python,Europe,0,Facebook,MacOS,Senior Engineer,33.6
Fernando,Freeman ,9,spaces,12,VSCode,Python,Antarctica,0,Microsoft,Windows,SWE 1,35.2
Emersyn,Ferguson ,3,tabs,7,VSCode,Python,Asia,0,Instagram,MacOS,Senior Engineer,42.4
Kamila,Singleton ,8,tabs,5,VSCode,Python,Antarctica,0,Facebook,Windows,SWE 1,34.6
Nadia,Wheeler ,10,spaces,12,VSCode,R,North America,0,Google,Windows,Senior Engineer,37.3
Adeline,Preston ,1,spaces,16,VSCode,Java,Asia,0,Spotify,Windows,SWE 2,35.6
Theo,Zamora ,9,tabs,7,XCode,PHP,Antarctica,0,Facebook,Windows,SWE 2,33.4
Lilah,Booth ,6,tabs,7,XCode,C#,Asia,0,Facebook,Windows,SWE 2,36.3
Bowen,Glass ,7,spaces,18,Visual Studio,C#,Africa,0,Netflix,Windows,SWE 1,35.6
Jaxson,Bates ,4,spaces,15,Visual Studio,C#,Antarctica,0,Microsoft,Windows,SWE 2,42.6
Grady,Larson ,2,tabs,9,pyCharm,C,Antarctica,0,Snapchat,Windows,SWE 1,34.3
Colton,Vega ,6,tabs,7,Intellij,Python,Antarctica,0,Apple,Windows,SWE 1,39.1
Everleigh,Velazquez ,8,tabs,8,pyCharm,Javascript,Antarctica,0,Microsoft,Windows,Senior Engineer,35.3
Liliana,Reynolds ,2,tabs,7,VSCode,C#,Europe,0,Apple,MacOS,Principal Engineer,30.1
Selena,O?Brien ,3,tabs,8,Visual Studio,C,Antarctica,0,Uber,MacOS,Senior Engineer,37.3
Nevaeh,Terrell ,10,spaces,19,Intellij,Java,Antarctica,0,Google,Linux,Principal Engineer,37.3
Malia,Moore ,5,spaces,18,Visual Studio,Java,Antarctica,0,Twitter,Windows,SWE 1,30.3
Logan,Sanchez ,2,spaces,13,Intellij,Java,Africa,0,Facebook,Windows,SWE 2,31.9
Axel,Small ,7,spaces,15,Vim,PHP,Africa,3,Microsoft,Linux,Principal Engineer,32.9
Jude,Yu ,4,spaces,14,VSCode,Python,Europe,0,Uber,Linux,Principal Engineer,34.3
Vanessa,Guerra ,2,spaces,17,Visual Studio,C#,Antarctica,0,Microsoft,Windows,SWE 2,30
Elliott,Roach ,9,spaces,18,XCode,GO,North America,0,Microsoft,MacOS,Principal Engineer,36.6
Saylor,Hess ,8,spaces,13,Emacs,PHP,Antarctica,3,Snapchat,Windows,SWE 2,31.1
Zion,Woodard ,5,tabs,7,Eclipse,PHP,Africa,0,Netflix,MacOS,Principal Engineer,37.3
Adaline,Hines ,5,tabs,9,Intellij,R,Asia,0,Apple,Windows,SWE 2,39.5
Amari,Reilly ,2,tabs,9,VSCode,C#,Europe,0,Amazon,Windows,SWE 2,31.1
Emanuel,Cervantes ,4,tabs,5,Eclipse,C#,Europe,0,Netflix,Windows,SWE 1,41.1
Avianna,Gentry ,10,spaces,15,Visual Studio,C,Africa,0,Snapchat,MacOS,Principal Engineer,40.1
Kensley,Ellison ,1,spaces,16,Visual Studio,R,Africa,0,Amazon,Windows,SWE 2,39.1
Selah,Long ,7,spaces,17,Visual Studio,Python,Antarctica,0,Spotify,Linux,Principal Engineer,34.9
Layla,Fields ,10,spaces,17,Visual Studio,GO,North America,0,Google,MacOS,Principal Engineer,33.9
Amora,Olson ,8,tabs,9,XCode,Javascript,North America,0,Apple,Windows,SWE 2,32.9
Griffin,Nichols ,4,tabs,7,Emacs,C++,Asia,0,Facebook,Linux,Distinguished Engineer,32.2
Tate,Walker ,5,spaces,13,VSCode,R,Europe,1,Snapchat,MacOS,Senior Engineer,32.8
Brianna,Nolan ,6,tabs,7,Vim,Python,Antarctica,0,Snapchat,Windows,SWE 2,36.6
Alyssa,Dawson ,2,tabs,9,Vim,C#,North America,2,Snapchat,Windows,SWE 1,32.1
Juniper,Delgado ,4,tabs,8,Visual Studio,Python,Antarctica,0,Facebook,MacOS,Senior Engineer,31
Peyton,Reed ,0,tabs,7,Visual Studio,Java,Antarctica,1,Apple,MacOS,Senior Engineer,32.9
Aubrey,Villanueva ,2,tabs,7,XCode,C,Asia,0,Uber,MacOS,Senior Engineer,33.1
Paxton,Burgess ,6,tabs,8,VSCode,Python,Antarctica,0,Netflix,Linux,Principal Engineer,33.7
River,Smith ,4,tabs,7,Intellij,Javascript,Asia,0,Netflix,MacOS,Senior Engineer,34.1
Scarlet,Lawson ,6,tabs,7,XCode,C#,Europe,0,Uber,MacOS,Senior Engineer,30.4
Lewis,Carter ,5,tabs,8,pyCharm,C#,Antarctica,0,Snapchat,Windows,SWE 1,33.1
Leila,Donovan ,7,spaces,12,VSCode,R,Antarctica,0,Apple,MacOS,Senior Engineer,29.3
Hugo,Lara ,8,spaces,16,Emacs,Python,Africa,5,Uber,Windows,Senior Engineer,31
Mateo,Logan ,5,tabs,7,VSCode,Swift,Africa,0,Snapchat,Windows,SWE 2,39.5
Zander,Merritt ,9,spaces,19,pyCharm,Python,Europe,0,Instagram,Windows,SWE 2,35.9
Chance,Mullins ,9,spaces,16,Emacs,Java,Antarctica,0,Facebook,Windows,SWE 2,37.6
Rocco,Velasquez ,2,tabs,6,Vim,Java,Antarctica,3,Snapchat,MacOS,Senior Engineer,31.2
Sloane,Wallace ,6,spaces,14,Visual Studio,R,Africa,0,Facebook,Linux,Principal Engineer,32.4
Demi,Morrow ,1,tabs,6,VSCode,C,Asia,0,Apple,MacOS,Senior Engineer,34.9
Sawyer,Crawford ,10,spaces,15,Visual Studio,C#,North America,0,Microsoft,Windows,SWE 1,34.7
Dakota,Chung ,3,tabs,9,Visual Studio,Java,Asia,0,Google,Linux,Distinguished Engineer,39.7
Lexi,Lewis ,9,tabs,6,Visual Studio,C#,Europe,0,Twitter,MacOS,Senior Engineer,31.4
Adeline,Owen ,6,spaces,13,VSCode,Python,Antarctica,0,Apple,MacOS,Senior Engineer,33.7
Anaya,Wilkerson ,8,spaces,15,pyCharm,C,Antarctica,0,Snapchat,Windows,SWE 2,32.1
Willa,Stevenson ,5,spaces,14,Visual Studio,Python,Africa,1,Amazon,Windows,SWE 1,33.3
Heaven,Winters ,8,spaces,12,VSCode,Java,Europe,0,Twitter,Windows,SWE 2,33.1
Josiah,Higgins ,0,tabs,7,Emacs,C#,Asia,0,Amazon,Windows,SWE 2,36.6
Londyn,Hayes ,3,spaces,15,Visual Studio,C,Asia,0,Instagram,Windows,SWE 1,35.2
Magnolia,Mcpherson ,9,spaces,17,Eclipse,C#,Asia,6,Microsoft,Windows,SWE 2,30.3
Makayla,Nichols ,0,tabs,8,XCode,C#,Europe,0,Facebook,MacOS,Senior Engineer,33.7
Dean,Blankenship ,10,spaces,14,XCode,C#,Europe,0,Spotify,Windows,SWE 2,33.4
Ian,Yu ,8,spaces,15,XCode,GO,Asia,0,Microsoft,Windows,SWE 2,34.1
Haven,Banks ,7,spaces,17,Visual Studio,C#,Antarctica,0,Amazon,MacOS,Principal Engineer,33.4
Matias,Duran ,8,tabs,6,VSCode,Java,North America,0,Facebook,Windows,SWE 1,32.2
Serena,Shannon ,6,spaces,18,Visual Studio,Swift,Africa,0,Apple,Windows,SWE 1,29.4
Levi,Perry ,4,spaces,12,VSCode,Python,Asia,0,Uber,Windows,SWE 2,36.7
Cristian,Hardin ,0,tabs,5,pyCharm,Python,Antarctica,0,Apple,Windows,SWE 1,30.4
Eduardo,Mitchell ,1,tabs,6,VSCode,C#,Africa,1,Instagram,Windows,SWE 1,29.3
Kamryn,Marquez ,8,spaces,18,Visual Studio,Javascript,Asia,0,Amazon,Windows,Senior Engineer,34.2
Winston,Hess ,1,spaces,14,pyCharm,PHP,North America,0,Snapchat,Linux,Distinguished Engineer,32.4
Valentina,Norman ,4,tabs,6,pyCharm,C,Europe,0,Microsoft,Windows,SWE 2,42.4
Jamison,Boyle ,2,tabs,7,Emacs,Python,Asia,0,Spotify,Linux,Distinguished Engineer,33.2
Ronan,Weber ,2,tabs,6,Vim,PHP,Asia,0,Uber,Linux,Principal Engineer,32.8
Alaina,Weaver ,4,spaces,16,Visual Studio,Java,Antarctica,0,Microsoft,Windows,SWE 2,40.3
Mabel,Stone ,4,tabs,7,Eclipse,GO,Asia,0,Twitter,Windows,SWE 2,36.9
Simon,Collier ,9,spaces,15,Emacs,C#,North America,2,Microsoft,Windows,SWE 2,34.7
Eve,Russell ,6,spaces,15,Visual Studio,C++,Asia,2,Netflix,Windows,SWE 1,23.1
Christopher,Butler ,5,spaces,18,XCode,C++,North America,3,Snapchat,Linux,Distinguished Engineer,33.1
Isla,Mack ,8,tabs,8,Eclipse,Javascript,Antarctica,5,Microsoft,Windows,Senior Engineer,33.8
Logan,Barajas ,4,spaces,13,Visual Studio,Python,Africa,0,Uber,Windows,SWE 1,27.9
Kade,Pe¤a ,4,tabs,8,Visual Studio,Python,Europe,0,Instagram,Windows,SWE 1,34.4
Cairo,Lopez ,5,tabs,7,XCode,C#,Antarctica,0,Twitter,Linux,Principal Engineer,39.5
Josiah,Reilly ,4,spaces,16,Visual Studio,Javascript,Antarctica,0,Google,Windows,SWE 1,29.3
Giovanni,Calhoun ,4,tabs,7,Eclipse,Swift,Europe,2,Instagram,Windows,SWE 2,35.9
Joel,Wells ,2,tabs,5,VSCode,Swift,Africa,0,Spotify,MacOS,Senior Engineer,34.6
Fabian,Valdez ,8,tabs,5,VSCode,C++,Antarctica,0,Apple,Windows,Senior Engineer,35.6
Nasir,Lowe ,3,tabs,8,VSCode,C#,Africa,0,Instagram,Windows,SWE 2,32.6
Paul,Norton ,8,spaces,12,Visual Studio,Java,Africa,0,Netflix,Linux,Distinguished Engineer,32.5
Jasmine,Mckee ,6,tabs,5,Visual Studio,Java,Europe,0,Apple,MacOS,Senior Engineer,27.7
Sophia,Hart ,5,spaces,16,Eclipse,Swift,Europe,0,Facebook,MacOS,Principal Engineer,26.2
Makayla,Cardenas ,1,spaces,14,Visual Studio,Java,Europe,2,Twitter,Linux,Distinguished Engineer,33.7
Astrid,Pugh ,4,tabs,8,pyCharm,Javascript,North America,0,Microsoft,Windows,SWE 1,34.5
Paislee,Benitez ,2,tabs,6,VSCode,C,Antarctica,3,Spotify,Linux,Distinguished Engineer,31.5
Daisy,Luna ,9,tabs,7,Visual Studio,C#,Asia,0,Apple,Windows,SWE 2,34.4
Mia,Mccarthy ,3,spaces,16,Visual Studio,Swift,Europe,1,Snapchat,MacOS,Principal Engineer,31.6
Jane,Stone ,4,tabs,8,Eclipse,C++,Europe,0,Instagram,Windows,SWE 1,32.4
Anastasia,Berry ,1,tabs,8,XCode,Javascript,Antarctica,2,Uber,Windows,SWE 2,33.4
Sawyer,Frost ,9,spaces,14,Vim,C#,Antarctica,0,Twitter,Windows,SWE 1,30.4
Kaison,Swanson ,6,tabs,8,Emacs,Python,Asia,0,Spotify,Windows,SWE 2,35.4
Evelyn,Weaver ,10,spaces,17,Visual Studio,C#,Africa,0,Apple,Windows,SWE 2,24.1
Andrea,Hanna ,5,spaces,11,Vim,Python,North America,0,Twitter,Linux,Principal Engineer,41.6
Lukas,Mendez ,3,tabs,7,Visual Studio,Python,Antarctica,0,Spotify,MacOS,Principal Engineer,39.5
Wynter,Cobb ,5,tabs,8,Visual Studio,Python,North America,0,Microsoft,MacOS,Senior Engineer,39.8
Brooks,Fields ,3,tabs,5,Visual Studio,Javascript,Europe,0,Uber,Linux,Distinguished Engineer,34.9
Santiago,Hess ,1,tabs,6,Eclipse,Java,Antarctica,0,Apple,MacOS,Senior Engineer,29.4
Royce,Le ,2,tabs,6,Visual Studio,C#,Asia,2,Google,MacOS,Senior Engineer,32.4
Kamryn,Dennis ,4,tabs,9,Visual Studio,R,Antarctica,0,Spotify,MacOS,Principal Engineer,32.7
Enzo,Jacobson ,7,spaces,16,Eclipse,Java,North America,3,Microsoft,MacOS,Principal Engineer,31.2
Mckenna,Guerrero ,7,tabs,6,VSCode,Javascript,Africa,4,Amazon,Windows,SWE 1,29.2
Adalyn,Beltran ,7,tabs,8,pyCharm,R,Antarctica,0,Netflix,Windows,SWE 1,33.5
Dean,Jordan ,5,tabs,9,Visual Studio,Javascript,Antarctica,0,Netflix,Windows,SWE 1,34.3
Mason,Wilkins ,10,tabs,6,Vim,Python,Antarctica,0,Twitter,Windows,SWE 1,28.7
Dior,Cole ,4,tabs,9,Visual Studio,R,Antarctica,0,Twitter,Windows,SWE 1,34.4
Esmeralda,Thomas ,4,tabs,7,pyCharm,GO,Europe,0,Facebook,Linux,Principal Engineer,36.8
Daisy,Kline ,9,spaces,20,Eclipse,Java,Antarctica,0,Spotify,Windows,SWE 1,36.4
Reese,Morrow ,3,tabs,8,Visual Studio,C#,Africa,0,Twitter,Windows,SWE 1,30.9
Ashley,Evans ,7,tabs,7,Emacs,C++,Africa,1,Spotify,Windows,SWE 2,35.7
Sage,Cain ,4,tabs,6,VSCode,C,Africa,0,Microsoft,Windows,SWE 2,32
Madelyn,Wolfe ,2,spaces,10,VSCode,PHP,Asia,0,Microsoft,MacOS,Principal Engineer,33.3
Aidan,Kelly ,8,spaces,16,VSCode,PHP,North America,4,Microsoft,MacOS,Principal Engineer,33.4
Quinn,Phelps ,3,tabs,8,XCode,PHP,Antarctica,1,Spotify,Windows,SWE 2,34
Scarlet,Johns ,1,tabs,8,Intellij,PHP,Africa,0,Uber,Linux,Distinguished Engineer,23.1
Philip,Ayers ,10,spaces,16,Visual Studio,Python,Antarctica,0,Apple,MacOS,Principal Engineer,32.2
Chase,Yu ,10,tabs,6,Intellij,PHP,Antarctica,3,Apple,MacOS,Principal Engineer,30.2
Remington,Todd ,6,spaces,14,Visual Studio,C,Antarctica,0,Apple,Windows,SWE 1,26.6
